R34 DIAGNOSTIC — REFERENCE RULES / SONS OF HORUS / NAMES
CAT revision=33

PLACEHOLDER RULES (805):
Daemonic Aura | The model gains a 5+ Invulnerable Save. | Daemonic Aura > Legiones Astartes | r47-wb-favour-aura-rule
r41-unit-xvii-2-ashen-circle-opt-3-melta-bombs | Melta bombs (base unit; +5 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xvii-2-ashen-circle-opt-4-plasma-pistol | Plasma pistol | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-2-ashen-circle-opt-5-artificer-armour | Artificer Armour | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-3-mhara-gal-tainted-dreadnought | MHARA GAL TAINTED DREADNOUGHT | RULES=Option restriction; Source Entry | LINKS= | CATS=Elites
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-0-multi-melta | Multi-Melta | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-1-twin-linked-autocannon | Twin-linked Autocannon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-2-twin-linked-lascannon | Twin-linked Lascannon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-3-with-built-in-twin-linked-bolter | with built-in Twin-linked Bolter | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-4-heavy-flamer | Heavy Flamer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-5-meltagun | Meltagun | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-3-mhara-gal-tainted-dreadnought-opt-6-plasma-blaster | Plasma Blaster | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad | PROCURATOR SQUAD | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=Elites
r41-unit-xvii-4-procurator-squad-additional | Squad Models | RULES= | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-0-rending-weapon | Rending Weapon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-1-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-2-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-3-hand-flamer | Hand Flamer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-4-plasma-pistol | Plasma pistol | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-5-krak-grenades | Krak grenades (base unit; +2 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-6-melta-bombs | Melta bombs (base unit; +5 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-7-jump-packs | Jump Packs (base unit; +15 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-8-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xvii-4-procurator-squad-opt-9-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-5-possessed-marine-squad | POSSESSED MARINE SQUAD | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=Elites
r41-unit-xvii-5-possessed-marine-squad-additional | Squad Models | RULES= | LINKS= | CATS=
r41-unit-xvii-5-possessed-marine-squad-opt-0-frag-grenades | Frag grenades (base unit; +1 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xvii-5-possessed-marine-squad-opt-1-krak-grenades | Krak grenades (base unit; +2 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xvii-5-possessed-marine-squad-opt-2-rending-weapon | Rending Weapon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-5-possessed-marine-squad-opt-3-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xvii-5-possessed-marine-squad-opt-4-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-6-argel-tal | ARGEL TAL | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=HQ
r41-unit-xvii-6-argel-tal-opt-0-krak-grenades | Krak grenades | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-6-argel-tal-opt-1-melta-bombs | Melta bombs | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren | GAL VORBAK DARK BRETHREN | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-additional | Squad Models | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-0-flamer | Flamer | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-1-meltagun | Meltagun | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-2-plasma-gun | Plasma Gun | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-3-power-weapon | Power weapon | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-4-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-5-krak-grenades | Krak grenades (base unit; +2 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-6-melta-bombs | Melta bombs (base unit; +5 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-7-power-weapon | Power weapon | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-8-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-9-lightning-claw | Lightning claw | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-6-argel-tal-retinue-0-r41-unit-xvii-1-gal-vorbak-dark-brethren-opt-10-artificer-armour | Artificer Armour | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-7-high-chaplain-erebus | HIGH CHAPLAIN EREBUS | RULES=Apothecary Armoury; Beyond Judgement; Blessing of Slaanesh; Champion Armoury; Enhanced Warriors; Land Raider Dedicated Transport; Legiones Astartes; Mobility Restrictions; Mounted Retinue; Option restriction; Retinue; Source Entry; Standard Bearer Armoury; Standard Wargear; Stealth Adept — whole squad | LINKS= | CATS=HQ
r41-unit-xvii-7-high-chaplain-erebus-opt-0-krak-grenades | Krak grenades | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-7-high-chaplain-erebus-opt-1-melta-bombs | Melta bombs | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command | Legion Command Squad | RULES=Apothecary Armoury; Beyond Judgement; Blessing of Slaanesh; Champion Armoury; Enhanced Warriors; Land Raider Dedicated Transport; Legiones Astartes; Mobility Restrictions; Mounted Retinue; Retinue; Standard Bearer Armoury; Standard Wargear; Stealth Adept — whole squad | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-vets | Legion Veterans | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-apoth | Legion Apothecary | RULES=Apothecary Armoury | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-standard | Legion Standard Bearer | RULES=Standard Bearer Armoury | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-champ | Legion Champion | RULES=Champion Armoury | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r69-centurion-command-bikes | Space Marine Bikes (entire squad) | RULES=Mounted Retinue | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r69-centurion-command-jetbikes | Jetbikes (entire squad) | RULES=Mounted Retinue | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r71-nl-gen-10-stealth | Stealth Adept — whole squad | RULES=Stealth Adept — whole squad | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r71-nl-bj-11 | Beyond Judgement — Trophies of Judgement & Fear | RULES=Beyond Judgement | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-jump | Jump Packs (+15 pts/model) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-bike | Space Marine Bikes (+20 pts/model) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-jet | Jetbikes (+35 pts/model) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | RULES= | LINKS= | CATS=
live-r2-fabius-enhanced-live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command | Enhanced Warriors | RULES=Enhanced Warriors | LINKS= | CATS=
live-r2-fulgrim-blessing-live-r2-r41-unit-xvii-7-high-chaplain-erebus-retinue-0-hq-centurion-ret-command | Blessing of Slaanesh | RULES=Blessing of Slaanesh | LINKS= | CATS=
r41-unit-xvii-8-kor-phaeron-the-black-cardinal | KOR PHAERON, THE BLACK CARDINAL | RULES=Beyond Judgement; Cyclone Missile Launcher; Land Raider Dedicated Transport; Legiones Astartes; Retinue; Source Entry; Standard Wargear; Terminator Apothecary; Terminator Champion; Terminator Standard Bearer | LINKS= | CATS=HQ
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-termcommand | Legion Terminator Command Squad | RULES=Beyond Judgement; Cyclone Missile Launcher; Land Raider Dedicated Transport; Legiones Astartes; Retinue; Standard Wargear; Terminator Apothecary; Terminator Champion; Terminator Standard Bearer | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-vets | Terminator Veterans | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-apoth | Terminator Apothecary | RULES=Terminator Apothecary | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-standard | Terminator Standard Bearer | RULES=Terminator Standard Bearer | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-champ | Terminator Champion | RULES=Terminator Champion | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-r73-nl-bj-11 | Beyond Judgement — Trophies of Judgement & Fear | RULES=Beyond Judgement | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-8-kor-phaeron-the-black-cardinal-retinue-0-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | RULES= | LINKS= | CATS=
r41-unit-xvii-9-zardu-layak | ZARDU LAYAK | RULES=Option restriction; Source Entry | LINKS= | CATS=HQ
r41-unit-xvii-9-zardu-layak-opt-0-krak-grenades | Krak grenades | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-10-anakatis-kul-blade-slaves | ANAKATIS KUL BLADE-SLAVES | RULES=Source Entry | LINKS= | CATS=Elites
r41-unit-xvii-11-hol-beloth | HOL BELOTH | RULES=Apothecary Armoury; Beyond Judgement; Blessing of Slaanesh; Champion Armoury; Enhanced Warriors; Land Raider Dedicated Transport; Legiones Astartes; Mobility Restrictions; Mounted Retinue; Option restriction; Retinue; Source Entry; Standard Bearer Armoury; Standard Wargear; Stealth Adept — whole squad | LINKS= | CATS=HQ
r41-unit-xvii-11-hol-beloth-opt-0-krak-grenades | Krak grenades | RULES=Option restriction | LINKS= | CATS=
r41-unit-xvii-11-hol-beloth-opt-1-melta-bombs | Melta bombs | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command | Legion Command Squad | RULES=Apothecary Armoury; Beyond Judgement; Blessing of Slaanesh; Champion Armoury; Enhanced Warriors; Land Raider Dedicated Transport; Legiones Astartes; Mobility Restrictions; Mounted Retinue; Retinue; Standard Bearer Armoury; Standard Wargear; Stealth Adept — whole squad | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-vets | Legion Veterans | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-apoth | Legion Apothecary | RULES=Apothecary Armoury | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-standard | Legion Standard Bearer | RULES=Standard Bearer Armoury | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-champ | Legion Champion | RULES=Champion Armoury | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r69-centurion-command-bikes | Space Marine Bikes (entire squad) | RULES=Mounted Retinue | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r69-centurion-command-jetbikes | Jetbikes (entire squad) | RULES=Mounted Retinue | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r71-nl-gen-10-stealth | Stealth Adept — whole squad | RULES=Stealth Adept — whole squad | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r71-nl-bj-11 | Beyond Judgement — Trophies of Judgement & Fear | RULES=Beyond Judgement | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-jump | Jump Packs (+15 pts/model) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-bike | Space Marine Bikes (+20 pts/model) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-jet | Jetbikes (+35 pts/model) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | RULES= | LINKS= | CATS=
live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | RULES= | LINKS= | CATS=
live-r2-fabius-enhanced-live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command | Enhanced Warriors | RULES=Enhanced Warriors | LINKS= | CATS=
live-r2-fulgrim-blessing-live-r2-r41-unit-xvii-11-hol-beloth-retinue-0-hq-centurion-ret-command | Blessing of Slaanesh | RULES=Blessing of Slaanesh | LINKS= | CATS=
r41-unit-xvii-12-xvii-lorgar-aurelian-the-urizen | XVII — LORGAR AURELIAN, THE URIZEN | RULES= | LINKS= | CATS=Lords of War
r41-unit-xviii-0-firedrake-terminator-squad | FIREDRAKE TERMINATOR SQUAD | RULES=Option restriction; Source Entry | LINKS= | CATS=Elites
r41-unit-xviii-0-firedrake-terminator-squad-additional | Squad Models | RULES= | LINKS= | CATS=
r41-unit-xviii-0-firedrake-terminator-squad-opt-0-heavy-flamer | Heavy Flamer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-0-firedrake-terminator-squad-opt-1-multi-melta | Multi-Melta | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-1-pyroclast-squad | PYROCLAST SQUAD | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=Elites
r41-unit-xviii-1-pyroclast-squad-additional | Squad Models | RULES= | LINKS= | CATS=
r41-unit-xviii-1-pyroclast-squad-opt-0-krak-grenades | Krak grenades (base unit; +2 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-1-pyroclast-squad-opt-1-melta-bombs | Melta bombs (base unit; +5 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-1-pyroclast-squad-opt-2-rending-weapon | Rending Weapon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-1-pyroclast-squad-opt-3-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xviii-1-pyroclast-squad-opt-4-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-1-pyroclast-squad-opt-5-thunder-hammer | Thunder hammer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad | SALAMANDERS INFERNUS DESTROYER SQUAD | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=Elites
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-additional | Squad Models | RULES= | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-0-krak-grenades | Krak grenades (base unit; +2 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-1-melta-bombs | Melta bombs (base unit; +5 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-2-jump-packs | Jump Packs (base unit; +15 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-3-heavy-flamer-with-suspensor-web | Heavy Flamer with Suspensor Web | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-4-multi-melta-with-suspensor-web | Multi-Melta with Suspensor Web | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-5-volkite-serpenta | Volkite Serpenta | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-6-plasma-pistol | Plasma pistol | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-7-rending-weapon | Rending Weapon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-8-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-9-lightning-claw | Lightning claw | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-10-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-11-thunder-hammer | Thunder hammer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-2-salamanders-infernus-destroyer-squad-opt-12-inferno-pistol | Inferno Pistol | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad | ADHERENT SQUAD | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=Troops
r41-unit-xviii-3-adherent-squad-additional | Squad Models | RULES= | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-0-heavy-flamer | Heavy Flamer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-1-krak-grenades | Krak grenades (base unit; +2 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-2-melta-bombs | Melta bombs (base unit; +5 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-3-rending-weapon | Rending Weapon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-4-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-5-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-6-thunder-hammer | Thunder hammer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-3-adherent-squad-opt-7-artificer-armour | Artificer Armour | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad | SANCTIFIER SQUAD | RULES=Option restriction; Source Entry; Squad-wide cost note | LINKS= | CATS=Elites
r41-unit-xviii-4-sanctifier-squad-additional | Squad Models | RULES= | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-0-second-bolt-pistol | Second Bolt pistol | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-1-rotor-cannon | Rotor Cannon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-2-two-hand-flamers | Two Hand Flamers | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-3-two-volkite-serpentae | Two Volkite Serpentae | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-4-rending-weapon | Rending Weapon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-5-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-6-krak-grenades | Krak grenades (base unit; +2 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-7-melta-bombs | Melta bombs (base unit; +5 pts/model) | RULES=Option restriction; Squad-wide cost note | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-8-rending-weapon | Rending Weapon | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-9-power-weapon | Power weapon | RULES= | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-10-lightning-claw | Lightning claw | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-11-power-fist | Power fist | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-12-thunder-hammer | Thunder hammer | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-4-sanctifier-squad-opt-13-artificer-armour | Artificer Armour | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-5-artellus-numeon | ARTELLUS NUMEON | RULES=Apothecary Armoury; Beyond Judgement; Blessing of Slaanesh; Champion Armoury; Cyclone Missile Launcher; Enhanced Warriors; Land Raider Dedicated Transport; Legiones Astartes; Mobility Restrictions; Mounted Retinue; Option restriction; Retinue; Source Entry; Standard Bearer Armoury; Standard Wargear; Stealth Adept — whole squad; Terminator Apothecary; Terminator Champion; Terminator Standard Bearer | LINKS= | CATS=HQ
r41-unit-xviii-5-artellus-numeon-opt-0-krak-grenades | Krak grenades | RULES=Option restriction | LINKS= | CATS=
r41-unit-xviii-5-artellus-numeon-opt-1-melta-bombs | Melta bombs | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-0-r41-unit-xviii-0-firedrake-terminator-squad | FIREDRAKE TERMINATOR SQUAD | RULES=Option restriction; Source Entry | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-0-r41-unit-xviii-0-firedrake-terminator-squad-additional | Squad Models | RULES= | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-0-r41-unit-xviii-0-firedrake-terminator-squad-opt-0-heavy-flamer | Heavy Flamer | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-0-r41-unit-xviii-0-firedrake-terminator-squad-opt-1-multi-melta | Multi-Melta | RULES=Option restriction | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command | Legion Command Squad | RULES=Apothecary Armoury; Beyond Judgement; Blessing of Slaanesh; Champion Armoury; Enhanced Warriors; Land Raider Dedicated Transport; Legiones Astartes; Mobility Restrictions; Mounted Retinue; Retinue; Standard Bearer Armoury; Standard Wargear; Stealth Adept — whole squad | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-vets | Legion Veterans | RULES= | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-apoth | Legion Apothecary | RULES=Apothecary Armoury | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-standard | Legion Standard Bearer | RULES=Standard Bearer Armoury | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-hq-centurion-ret-command-champ | Legion Champion | RULES=Champion Armoury | LINKS= | CATS=
live-r2-r41-unit-xviii-5-artellus-numeon-retinue-1-r69-centurion-command-bikes | Space Marine Bikes (entire squad) | RULES=Mounted Retinue | LINKS= | CATS=
